work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,EN,FT,Data Engineer,80000,US,0,US,M
2023,EN,FT,Research Scientist,167200,US,0,US,M
2023,EN,FT,Research Scientist,150000,US,0,US,M
2023,EN,FT,Applied Scientist,213660,US,0,US,L
2023,EN,FT,Analytics Engineer,119200,US,100,US,M
2023,EN,FT,Data Analyst,85000,US,100,US,M
2023,EN,FT,Data Engineer,120000,US,0,US,M
2023,EN,FT,Data Integration Specialist,46400,US,100,US,M
2023,EN,FT,Data Engineer,52500,US,0,US,M
2023,EN,FT,Data Analyst,50000,US,0,US,M
2023,EN,FT,Data Analyst,69525,US,100,US,M
2023,EN,FT,Research Scientist,250800,US,0,US,M
2023,EN,FT,BI Data Analyst,60000,AR,100,US,M
2023,EN,FT,Analytics Engineer,84000,US,0,US,M
2023,EN,FT,Data Analyst,80800,US,0,US,M
2023,EN,FT,Data Engineer,187000,US,0,US,M
2023,EN,FT,Applied Scientist,204620,US,0,US,L
2023,EN,FT,Research Scientist,100000,US,0,US,M
2023,EN,FT,Data Engineer,90000,US,0,US,M
2023,EN,FT,Data Engineer,52500,US,0,US,M
2023,EN,FT,Data Scientist,150000,US,0,US,M
2023,EN,FT,Data Analyst,60000,US,100,US,M
2023,EN,FT,Data Analyst,60000,US,0,US,M
2023,EN,FT,Data Scientist,124234,US,0,US,M
2023,EN,FT,Data Engineer,61800,US,100,US,M
2023,EN,FT,Analytics Engineer,90000,US,0,US,M
2023,EN,FT,Data Analyst,111000,US,0,US,M
2023,EN,FT,Data Analyst,57920,US,100,US,M
2023,EN,FT,Applied Scientist,110680,US,0,US,L
2023,EN,FT,Data Analyst,75000,US,100,US,M
2023,EN,FT,Analytics Engineer,156450,US,100,US,M
2023,EN,FT,Research Scientist,120000,US,100,US,M
2023,EN,FT,Data Analyst,100000,US,0,US,M
2023,EN,FT,Data Analyst,61800,US,100,US,M
2023,EN,FT,Data Engineer,92700,US,100,US,M
2023,EN,FT,Data Engineer,85000,US,0,US,M
2023,EN,FT,Data Analyst,50000,KW,50,US,L
2023,EN,FT,Data Scientist,71907,US,100,US,M
2023,EN,FT,Data Engineer,65000,US,0,US,M
2023,EN,FT,Data Analyst,70000,US,0,US,M
2023,EN,FT,Research Analyst,65000,US,0,US,M
2023,EN,FT,Machine Learning Engineer,163196,US,0,US,M
2023,EN,FT,Data Scientist,119200,US,0,US,M
2023,EN,FT,Data Scientist,100000,US,100,US,M
2023,EN,FT,Data Scientist,105000,US,0,US,M
2023,EN,FT,Data Scientist,115360,US,100,US,M
2023,EN,FT,Data Analyst,67500,US,0,US,M
2023,EN,FT,Data Scientist,110000,US,0,US,M
2023,EN,FT,Data Engineer,62000,US,100,US,M
2023,EN,FT,Data Analyst,105000,US,0,US,M
2023,EN,FT,Data Analyst,75000,US,0,US,M
2023,EN,FT,Data Analyst,100000,US,50,US,M
2023,EN,FT,Data Engineer,85000,US,0,US,M
2023,EN,FT,Data Scientist,74540,US,0,US,M
2023,EN,FT,Data Engineer,160000,US,0,US,M
2023,EN,FT,Data Engineer,58000,US,100,US,M
2023,EN,FT,Applied Scientist,130760,US,0,US,L
2023,EN,FT,BI Data Analyst,85000,CA,100,US,M
2023,EN,FT,Data Analyst,86000,US,0,US,M
2023,EN,FT,Data Engineer,220000,US,0,US,M
2023,EN,FT,Data Scientist,151410,US,100,US,M
2023,EN,FT,BI Data Engineer,60000,US,100,US,M
2023,EN,FT,Data Analyst,75000,US,0,US,M
2023,EN,FT,Data Scientist,140000,US,0,US,M
2023,EN,FT,Research Scientist,150000,US,0,US,M
2023,EN,FT,Data Engineer,52500,US,0,US,M
2023,EN,FT,Data Analyst,81500,US,100,US,M
2023,EN,FT,Data Analyst,95000,US,100,US,M
2023,EN,FT,Data Engineer,65000,US,0,US,M
2023,EN,FT,Data Integration Specialist,63750,US,100,US,M
2023,EN,FT,Data Engineer,92700,US,100,US,M
2023,EN,FT,Data Analyst,94600,US,0,US,M
2023,EN,FT,Data Analyst,132600,US,100,US,M
2023,EN,FT,Research Scientist,162170,US,100,US,M
2023,EN,FT,Research Scientist,100000,US,0,US,M
2023,EN,FT,Data Analyst,80000,US,100,US,M
2023,EN,FT,Data Engineer,52500,US,0,US,M
2023,EN,FT,Research Engineer,155000,US,0,US,M
2023,EN,FT,Research Engineer,125000,US,0,US,M
2023,EN,FT,Data Engineer,85000,US,0,US,M
2023,EN,FT,Data Engineer,160000,US,0,US,M
2023,EN,FT,Data Engineer,73900,US,0,US,M
2023,EN,FT,Data Engineer,85000,US,0,US,M
2023,EN,FT,Research Scientist,167200,US,0,US,M
